Date,Bengaluru,Delhi,Hyderabad
2019-05-21,93.68,194.58,114.83
2019-05-22,84.74,201.27,94.33
2019-05-23,97.98,230,111.01
2019-05-24,75.5,117.66,92.55
2019-05-25,71.31,118.65,128.82
2019-05-26,49.25,136.58,144.06
2019-05-27,59.78,172.68,124.03
2019-05-28,84.93,183.77,128.79
2019-05-29,62.28,202.75,148.7
2019-05-30,77.36,246.05,120.31
2019-05-31,60.85,337.77,107.63
2019-06-01,64.19,298.35,95.7
2019-06-02,64.72,219.79,127.37
2019-06-03,42.09,300.7,71.14
2019-06-04,61.65,171.58,54.95
2019-06-05,56.09,208.72,92.7
2019-06-06,51.53,236.45,104.77
2019-06-07,56.96,152.39,68.55
2019-06-08,53.47,187.62,65.33
2019-06-09,39.84,265.12,67.58
2019-06-10,25.87,233.49,54.49
2019-06-11,30.88,487.77,38.63
2019-06-12,35.87,240.88,31.33
2019-06-13,38.15,189.69,28.99
2019-06-14,47.2,188.21,40.79
2019-06-15,54.09,274.68,62.18
2019-06-16,56.08,160.96,61.02
2019-06-17,64.03,137.08,73.19
2019-06-18,64.96,84.53,62.52
2019-06-19,60.88,223.08,63.26
2019-06-20,53.32,130.88,56.2
2019-06-21,56.61,188.16,64.68
2019-06-22,45.48,177.16,40.82
2019-06-23,36.43,126.12,48.17
2019-06-24,44.9,85.68,48.67
2019-06-25,76.25,119.98,52.03
2019-06-26,61.12,155.9,38.92
2019-06-27,65.51,230.98,25.11
2019-06-28,85.13,239.15,21.02
2019-06-29,81.98,271.27,24.02
2019-06-30,63.53,270.03,35.16
2019-07-01,70.15,189.32,38.86
2019-07-02,62.01,233.25,29.98
2019-07-03,60.9,113.92,45.27
2019-07-04,60.19,87.8,38.88
2019-07-05,57.46,99.98,33.26
2019-07-06,51.06,87.5,38.56
2019-07-07,68.71,91.79,37.91
2019-07-08,55.7,148.79,44.22
2019-07-09,46.87,128.6,34.76
2019-07-10,50.35,278.71,31.67
2019-07-11,61.32,352.26,39.46
2019-07-12,62.33,363.7,39.59
2019-07-13,57.91,294.27,34.14
2019-07-14,51.48,280.99,42.52
2019-07-15,47.39,137.67,40.84
2019-07-16,46.99,79.22,72.98
2019-07-17,55,67.73,61.44
2019-07-18,62.36,78.08,83.02
2019-07-19,37.85,158.3,73.21
2019-07-20,42.66,117.84,38.84
2019-07-21,41.46,105.55,36.16
2019-07-22,41.71,119.66,37.69
2019-07-23,41.62,153.96,27.42
2019-07-24,63.75,156.93,33.46
2019-07-25,53.24,63.51,34.31
2019-07-26,53.25,61.26,37.9
2019-07-27,50.99,45.04,32.82
2019-07-28,49.13,46.35,32.98
2019-07-29,56.25,64.17,24.55
2019-07-30,56.4,82.81,16.54
2019-07-31,47.37,76.67,24.67
2019-08-01,51.46,85.89,22.89
2019-08-02,52.16,83.66,14.41
2019-08-03,46.6,80.35,12.53
2019-08-04,41.66,88.15,12.61
2019-08-05,29.63,104.96,16.23
2019-08-06,30.58,57.31,21.56
2019-08-07,32.65,72.98,20.37
2019-08-08,27.28,80.22,31.7
2019-08-09,30.16,61.47,36.39
2019-08-10,38.48,47.75,36.04
2019-08-11,38.27,67.15,49.51
2019-08-12,46.51,51.91,66.23
2019-08-13,46.9,56.18,83.11
2019-08-14,46.08,58.36,65.91
2019-08-15,38.14,56.28,52.66
2019-08-16,34.85,37.1,56.16
2019-08-17,52,19.51,78.62
2019-08-18,47.66,30.45,96.6
2019-08-19,49.59,86.13,75.83
2019-08-20,48.73,95.71,86.73
2019-08-21,45.86,129.46,79.58
2019-08-22,57.03,130.49,56.42
2019-08-23,44.78,142.76,61.82
2019-08-24,63.42,149.82,48.14
2019-08-25,55.99,67.82,36.89
2019-08-26,49.29,68.59,51.14
2019-08-27,47,107.99,65.41
2019-08-28,42.17,103.01,62.16
2019-08-29,44.99,90.29,53.81
2019-08-30,50.6,105.68,35.21
2019-08-31,65.26,123.23,26.77
2019-09-01,47.85,81.44,19.79
2019-09-02,27.78,101.79,31.72
2019-09-03,32.65,143.56,25.24
2019-09-04,40.46,150.39,22.06
2019-09-05,42.24,90.44,23.81
