,AP001,AP005,BR007,DL002,DL004,DL006,DL007,DL008,DL011,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,OD001,UP015,OD002,HR011,KA002,DL003,DL009,DL010,DL015,DL016,DL018,DL022,DL023,DL024,DL026,DL027,DL032,DL035,DL037,DL038,WB013,KA004,KA006,KA008,KA011,DL020,DL029,DL036,KA007,DL005,WB011,DL001,AS001,WB009,MH012,MH013,WB010,MH007,MH010,MH009,MH014,MH006,TN005,TN002,MH011,MH008,WB012,UP013,WB008,ML001,WB007,CH001,MP001,BR008,BR009,BR010,KL002,KL004,KL007,BR005,BR006,HR012,HR013,MZ001
2018-08-25,Satisfactory,,Moderate,Moderate,Moderate,Satisfactory,Poor,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Good,Satisfactory,Good,,,Moderate,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,,,Good,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-26,Satisfactory,,Moderate,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,,Satisfactory,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,Severe,Satisfactory,Moderate,Satisfactory,Moderate,Good,,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Good,Satisfactory,Good,,,Moderate,Good,Satisfactory,Satisfactory,Severe,Satisfactory,Satisfactory,,,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,Satisfactory,,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,Moderate,Good,,Good,,Moderate,Satisfactory,,Satisfactory,Moderate,Moderate,Satisfactory,Good,Good,Satisfactory,Good,,,Satisfactory,Good,Satisfactory,Satisfactory,Severe,Satisfactory,Moderate,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Good,,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,Moderate,Good,Satisfactory,Good,,Moderate,Satisfactory,,Moderate,Moderate,Poor,Satisfactory,Good,Good,Satisfactory,Good,,Satisfactory,Satisfactory,Good,Good,Satisfactory,,Satisfactory,Moderate,,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-29,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Moderate,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Good,Good,Satisfactory,Good,,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,,,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-30,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Moderate,Severe,Satisfactory,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Moderate,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-31,Satisfactory,Moderate,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Severe,Moderate,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Good,,Moderate,,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Satisfactory,Moderate,Moderate,Moderate,Severe,Moderate,Moderate,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Good,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,,Satisfactory,Satisfactory,,Poor,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Severe,,Moderate,Satisfactory,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,,Moderate,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Good,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,,Moderate,,,Good,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-03,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Satisfactory,,,Moderate,,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,Good,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,,Satisfactory,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Poor,Satisfactory,,Satisfactory,,,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,,,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Good,Satisfactory,Good,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Moderate,,,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Poor,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,,Satisfactory,Moderate,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Poor,,Moderate,,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-06,Satisfactory,Moderate,Moderate,Poor,Moderate,,Poor,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Very Poor,Moderate,Moderate,Satisfactory,Moderate,Severe,Moderate,Satisfactory,Good,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Poor,Satisfactory,,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Very Poor,Moderate,Moderate,Satisfactory,Moderate,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Good,,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,,Moderate,,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-08,Moderate,Moderate,Satisfactory,Moderate,Moderate,,Moderate,Satisfactory,,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,Moderate,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Good,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Moderate,,,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Good,Good,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Moderate,,,,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,,Moderate,Moderate,Moderate,Satisfactory,,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Severe,Good,,Good,Moderate,Satisfactory,,,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,Moderate,Satisfactory,Satisfactory,Moderate,Good,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-11,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,Poor,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Severe,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-13,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,,Poor,Moderate,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Severe,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,,,,,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Poor,Moderate,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Severe,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Satisfactory,,,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-15,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Poor,Moderate,,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Severe,,,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,,Moderate,Moderate,Moderate,Satisfactory,,Poor,Moderate,,Satisfactory,Satisfactory,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Severe,,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,,Satisfactory,Moderate,Moderate,Moderate,,Poor,Moderate,,Moderate,Satisfactory,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Severe,,,Good,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Severe,Very Poor,,,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Good,,Good,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Moderate,Moderate,,Moderate,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Good,Good,Moderate,Moderate,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,Satisfactory,Moderate,Moderate,Poor,Moderate,Moderate,Poor,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Severe,Very Poor,,Good,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Poor,Poor,,Satisfactory,,,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Good,Good,Moderate,Poor,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,Satisfactory,Moderate,Poor,Poor,Moderate,Moderate,Poor,Moderate,,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Severe,Very Poor,,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Moderate,Poor,Moderate,,Moderate,,,Moderate,Moderate,Poor,Moderate,Poor,Moderate,Moderate,Poor,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Poor,Moderate,Moderate,Satisfactory,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,Satisfactory,Moderate,Satisfactory,,Moderate,Moderate,Moderate,Moderate,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Moderate,Moderate,Moderate,Moderate,Severe,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,,Moderate,,,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-22,Satisfactory,Satisfactory,Satisfactory,,Good,Satisfactory,Moderate,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Good,Good,Satisfactory,,Satisfactory,Good,,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,Satisfactory,Moderate,Moderate,,Good,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Good,Satisfactory,Satisfactory,Satisfactory,Severe,Satisfactory,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Moderate,Good,,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Good,Satisfactory,Good,Good,Satisfactory,Good,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,Moderate,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
