Date,AP001,AP005,BR007,DL002,DL004,DL007,DL008,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL009,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL032,DL037,DL038
2017-08-25,,,,,,,,,,,,,,,,,,,24.48,,4.26,6.27,6.92,17.92,1.65,,1.92,10.19,,2.75,,,7.16,5.69,11.4,,,4.3,,,21.56,6.82,,,,,,,,,,,,,
2017-08-26,,,,,,,,,,,,,,,,,,,40.14,,3.89,6.733333333333333,5.82,26.88,2.43,,1.98,10.58,,2.62,,,12.11,5.51,11.89,,,5.37,,,31.73,11.09,,,,,,,,,,,,,
2017-08-27,,,,,,,,,,,,,,,,,,,62.68,,3.86,7.196666666666667,5.9,27.68,1.7,,2.05,10.36,,2.58,,,6.88,5.37,10.68,,,7.46,,,41.87,6.24,,,,,,,,,,,,,
2017-08-28,,,,,,,,,,,,,,,,,,6.93,23.19,,17.25,7.66,5.95,39.41,1.75,,1.86,10.17,,2.42,,,7.27,5.25,10.01,,,6.0,,,21.33,4.72,,,,,,,,,,,,,
2017-08-29,,,,,,,,,,,,,,,,,,,22.97,,26.31,6.835,5.92,38.76,1.84,,1.88,10.6,,4.54,,,6.68,6.11,9.41,,,6.5,,,5.36,5.19,,,,,,,,,,,,,
2017-08-30,,,,,,,,,,,,,,,,,,,24.34,,43.86,6.01,5.5,23.4,1.8,,1.77,10.87,,4.4,,,12.68,5.49,3.73,,,5.43,,,11.1,7.12,,,,,,,,,,,,,
2017-08-31,,,,,,19.27,,3.55,,,,,,17.33,,,,,38.8,,17.52,5.185,4.83,17.43,1.92,,1.89,10.62,,4.24,,,7.58,5.96,11.68,,,7.63,,,7.77,7.35,,,,,,,,,,,,,
2017-09-01,,,,,,16.05,,3.0,,,,,,39.55,,,,,26.56,,10.76,4.36,6.86,28.97,1.75,,1.98,10.85,,4.34,,,10.55,6.69,10.89,,,6.7,,,6.99,7.79,,,,,,,,,,,,,
2017-09-02,,,,,,,,,,,,,,,,,,,56.72,,2.44,4.535,7.01,63.14,1.89,,1.83,10.45,,4.53,,,17.51,8.76,12.2,,,6.65,,,7.43,5.69,,,,,,,,,,,,,
2017-09-03,,,,,,,,,,,,,,,,,,,10.9,,2.54,4.71,6.14,42.19,1.67,,2.05,10.36,,4.36,,,6.69,5.92,11.71,,,8.24,,,8.48,5.8,,,,,,,,,,,,,
