Date,Ahmedabad,Delhi,Hyderabad,Patna,Visakhapatnam,Amritsar
2018-07-13,0.65,0.99,0.25,17.56,3.81,2.14
2018-07-14,0.94,1.03,0.69,16.1,4.64,3.06
2018-07-15,0.65,0.41,0.38,14.98,3.64,5.49
2018-07-16,0.65,1.3,0.34,16.35,3.96,5.09
2018-07-17,6.65,0.85,0.27,14.92,3.48,4.28
2018-07-18,0.65,0.83,4.49,16.44,3.03,3.01
2018-07-19,0.65,0.47,2.47,18.94,3.19,4.41
2018-07-20,1.16,0.91,0.34,16.19,4.8,6.09
2018-07-21,0.9,0.88,3.97,15.04,5.72,8.48
2018-07-22,1.03,0.63,0.55,12.44,4.27,8.49
2018-07-23,0.79,0.48,0.28,12.9,3.73,6.25
2018-07-24,0.79,0.45,0.54,12.3,3.78,3.58
2018-07-25,0.72,0.56,0.29,8.43,3.86,4.75
2018-07-26,0.65,0.6,0.26,11.31,4.68,1.92
2018-07-27,0.65,0.54,0.39,11.48,3.64,3.61
2018-07-28,0.65,0.45,0.41,11.95,3.5,7.89
2018-07-29,0.65,0.44,0.53,8.37,2.21,10.86
2018-07-30,0.65,0.29,0.53,8.43,7.91,12.12
2018-07-31,0.65,0.57,0.72,8.94,3.94,7.91
2018-08-01,0.65,0.28,3.86,7.13,3.93,7.34
2018-08-02,0.65,0.31,2.86,12.1,2.71,7.84
2018-08-03,0.65,0.21,9.83,12.81,3.52,11.38
2018-08-04,0.65,0.33,2.39,10.83,4.99,5.86
2018-08-05,0.65,0.4,1.0,10.9,2.58,8.64
2018-08-06,0.65,0.49,0.44,14.73,4.94,7.62
2018-08-07,0.65,0.59,0.64,17.74,4.14,7.2
2018-08-08,0.65,0.58,0.73,18.76,4.84,6.75
2018-08-09,0.65,0.47,2.69,16.18,3.73,5.88
2018-08-10,0.65,0.33,4.27,15.49,3.98,9.18
2018-08-11,0.65,0.27,0.98,16.26,4.38,11.65
2018-08-12,0.65,0.1,0.37,14.59,3.27,11.65
2018-08-13,0.65,0.09,0.28,19.19,6.34,8.93
2018-08-14,0.65,0.19,4.19,17.64,7.4,10.34
2018-08-15,0.65,0.07,0.54,13.99,6.275,11.11
2018-08-16,0.65,0.11,0.15,12.58,5.15,7.36
2018-08-17,0.65,0.23,0.22,13.59,3.77,10.23
2018-08-18,3.17,0.05,0.21,17.87,4.01,11.03
2018-08-19,16.89,0.03,1.33,17.28,1.59,10.81
2018-08-20,0.65,0.12,0.16,16.53,5.84,8.03
2018-08-21,0.65,0.09,0.1,14.03,3.18,4.98
2018-08-22,0.65,0.05,0.18,13.79,3.4,6.46
2018-08-23,1.07,0.04,0.22,13.67,2.88,7.12
2018-08-24,0.65,0.16,1.41,17.94,1.94,9.67
2018-08-25,0.65,0.03,3.26,17.22,5.85,7.516666666666667
2018-08-26,0.65,0.08,1.4,15.04,19.16,5.363333333333333
2018-08-27,1.02,0.07,0.73,15.42,32.47,3.21
2018-08-28,0.79,0.09,4.2,15.1,5.54,5.75
2018-08-29,0.65,0.08,1.87,12.15,4.79,11.83
2018-08-30,0.83,0.2,10.26,17.68,3.82,7.52
2018-08-31,0.65,0.12,19.1,19.06,6.18,4.19
2018-09-01,0.65,0.04,10.98,17.41,6.08,7.26
2018-09-02,0.65,0.15,1.95,12.84,2.99,1.93
2018-09-03,0.65,0.79,1.42,11.66,3.61,5.56
2018-09-04,0.65,0.13,9.86,12.52,3.87,5.25
2018-09-05,0.65,0.08,19.46,13.53,4.39,4.11
2018-09-06,0.65,0.03,21.59,17.03,4.87,6.87
2018-09-07,0.65,0.28,7.09,14.55,4.82,7.52
2018-09-08,0.65,0.06,0.39,13.21,3.14,8.23
2018-09-09,0.65,0.14,0.58,10.57,3.55,11.46
2018-09-10,0.65,0.23,6.36,7.64,3.25,11.24
2018-09-11,0.65,0.06,2.91,6.87,4.08,11.58
2018-09-12,0.65,0.03,8.14,6.15,4.25,9.22
2018-09-13,0.65,0.03,8.36,7.7,2.53,8.54
2018-09-14,0.65,0.07,7.44,8.63,4.48,9.74
