Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2017-10-07,0.57,0.08,0.0,0.36,0.0,,2.31,0.01,3.43,0.03,0.46,0.67,10.52
2017-10-08,0.21,0.2,0.0,0.35,0.0,,0.0,0.005,3.35,0.09,0.06,0.92,0.37
2017-10-09,0.22,0.17,0.0,0.35,0.0,,6.65,0.0,3.26,0.12,0.12,0.56,0.68
2017-10-10,0.0,0.02,0.0,0.34,0.0,1.11,0.0,0.0,0.0,0.01,0.0,0.0,1.51
2017-10-11,0.0,0.06,0.0,0.34,0.0,0.64,0.0,0.01,0.0,0.05,0.41,0.0,2.68
2017-10-12,0.0,0.02,0.0,0.34,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.95
2017-10-13,0.0,0.05,0.0,0.35,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2017-10-14,0.0,0.04,0.0,0.34,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-15,0.0,0.13,0.0,0.35,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-16,0.0,0.14,0.0,0.35,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,4.38
2017-10-17,0.0,0.08,0.0,0.35,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2017-10-18,0.0,0.03,0.0,0.34,0.0,2.43,0.0,0.0,0.0,0.02,0.4,0.0,4.88
2017-10-19,2.12,0.17,0.0,0.3,0.0,1.925,13.24,0.0,7.42,0.3,2.98,0.53,0.0
2017-10-20,0.1,0.01,0.0,0.28,0.0,1.42,28.33,0.0,0.37,0.01,0.02,0.02,0.0
2017-10-21,0.34,0.07,0.0,0.28,0.0,2.42,27.97,0.0,0.38,0.01,0.0,0.0,0.0
2017-10-22,0.0,0.0,0.0,0.3,0.0,1.19,28.02,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-23,0.15,0.16,0.0,0.35,0.0,0.92,26.67,0.0,5.63,0.06,0.06,0.41,0.0
2017-10-24,0.01,0.34,0.0,0.3,0.0,1.19,24.64,0.0,0.7,0.01,0.03,0.05,0.0
2017-10-25,0.0,0.37,0.0,0.29,0.0,2.13,27.32,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-26,0.0,0.35,0.0,0.28,0.0,3.38,27.68,0.0,0.0,0.04,0.0,0.0,0.0
2017-10-27,0.02,0.26,0.0,0.3,0.0,4.05,25.08,0.0,0.14,0.73,0.0,0.0,0.4
2017-10-28,0.0,0.32,0.0,0.28,0.0,2.37,25.99,0.0,0.0,0.0,0.0,0.0,11.14
